state_name,state_fips,technology,file_id,file_name,download_link
Alabama,01,Cable,1582400,bdc_01_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582400/1
Alaska,02,Cable,1582401,bdc_02_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582401/1
American Samoa,60,Cable,1582451,bdc_60_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582451/1
Arizona,04,Cable,1582402,bdc_04_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582402/1
Arkansas,05,Cable,1582403,bdc_05_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582403/1
California,06,Cable,1582404,bdc_06_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582404/1
Colorado,08,Cable,1582405,bdc_08_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582405/1
Commonwealth of the Northern Mariana Islands,69,Cable,1582453,bdc_69_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582453/1
Connecticut,09,Cable,1582406,bdc_09_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582406/1
Delaware,10,Cable,1582407,bdc_10_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582407/1
District of Columbia,11,Cable,1582408,bdc_11_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582408/1
Florida,12,Cable,1582409,bdc_12_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582409/1
Georgia,13,Cable,1582410,bdc_13_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582410/1
Guam,66,Cable,1582452,bdc_66_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582452/1
Hawaii,15,Cable,1582411,bdc_15_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582411/1
Idaho,16,Cable,1582412,bdc_16_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582412/1
Illinois,17,Cable,1582413,bdc_17_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582413/1
Indiana,18,Cable,1582414,bdc_18_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582414/1
Iowa,19,Cable,1582415,bdc_19_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582415/1
